Price-1,Open-1,High-1,Low-1,Vol-1,Week-1,t-1,Price-2,Open-2,High-2,Low-2,Vol-2,Week-2,t-2,Last-Week-Price,Last-Week-Open,Last-Week-High,Last-Week-Low,Last-Week-Vol,Last-Week-day,Last-Week-t
4.66,4.65,4.7,4.65,0.02,2.0,11,4.61,4.7,4.7,4.7,0.05,1.0,11,4.93,4.93,4.93,4.93,0.0,3,11
4.57,4.73,4.73,4.73,1.2,3.0,11,4.66,4.65,4.7,4.65,0.02,2.0,11,4.71,4.83,4.83,4.75,0.01,4,11
4.5,4.5,4.5,4.5,0.02,4.0,11,4.57,4.73,4.73,4.73,1.2,3.0,11,4.69,5.69,5.69,5.69,0.15,5,11
4.52,4.52,4.52,4.52,0.001,5.0,11,4.5,4.5,4.5,4.5,0.02,4.0,11,4.61,4.7,4.7,4.7,0.05,1,11
4.62,4.55,4.55,4.55,0.01,1.0,11,4.52,4.52,4.52,4.52,0.001,5.0,11,4.66,4.65,4.7,4.65,0.02,2,11
4.81,4.79,4.84,4.79,0.05,2.0,11,4.62,4.55,4.55,4.55,0.01,1.0,11,4.57,4.73,4.73,4.73,1.2,3,11
4.8,4.9,4.9,4.8,0.03,3.0,11,4.81,4.79,4.84,4.79,0.05,2.0,11,4.5,4.5,4.5,4.5,0.02,4,11
5.05,4.94,5.1,4.94,3.02,4.0,11,4.8,4.9,4.9,4.8,0.03,3.0,11,4.52,4.52,4.52,4.52,0.001,5,11
5.05,5.05,5.11,5.05,7.03,5.0,11,5.05,4.94,5.1,4.94,3.02,4.0,11,4.62,4.55,4.55,4.55,0.01,1,11
4.91,5.96,5.96,5.96,4.0,1.0,11,5.05,5.05,5.11,5.05,7.03,5.0,11,4.81,4.79,4.84,4.79,0.05,2,11
5.02,4.84,4.94,4.84,5.05,2.0,11,4.91,5.96,5.96,5.96,4.0,1.0,11,4.8,4.9,4.9,4.8,0.03,3,11
5.11,5.05,5.06,5.05,6.84,3.0,11,5.02,4.84,4.94,4.84,5.05,2.0,11,5.05,4.94,5.1,4.94,3.02,4,11
5.01,5.04,5.12,4.98,0.03,4.0,11,5.11,5.05,5.06,5.05,6.84,3.0,11,5.05,5.05,5.11,5.05,7.03,5,11
5.24,5.0,5.0,4.95,0.01,5.0,11,5.01,5.04,5.12,4.98,0.03,4.0,11,4.91,5.96,5.96,5.96,4.0,1,11
5.35,5.4,5.4,5.4,2.3,1.0,11,5.24,5.0,5.0,4.95,0.01,5.0,11,5.02,4.84,4.94,4.84,5.05,2,11
5.5,6.7,6.7,6.7,0.5,2.0,11,5.35,5.4,5.4,5.4,2.3,1.0,11,5.11,5.05,5.06,5.05,6.84,3,11
5.48,6.71,6.71,6.71,1.67,3.0,11,5.5,6.7,6.7,6.7,0.5,2.0,11,5.01,5.04,5.12,4.98,0.03,4,11
5.69,6.96,6.96,6.96,5.74,4.0,11,5.48,6.71,6.71,6.71,1.67,3.0,11,5.24,5.0,5.0,4.95,0.01,5,11
5.5,5.54,5.54,5.54,0.91,5.0,11,5.69,6.96,6.96,6.96,5.74,4.0,11,5.35,5.4,5.4,5.4,2.3,1,11
5.82,6.75,6.75,6.75,0.68,1.0,10,5.5,5.54,5.54,5.54,0.91,5.0,11,5.5,6.7,6.7,6.7,0.5,2,11
5.8,5.85,5.85,5.85,0.01,2.0,10,5.82,6.75,6.75,6.75,0.68,1.0,10,5.48,6.71,6.71,6.71,1.67,3,11
6.06,7.17,7.37,7.17,0.6,3.0,10,5.8,5.85,5.85,5.85,0.01,2.0,10,5.69,6.96,6.96,6.96,5.74,4,11
6.43,6.03,6.03,6.03,0.001,4.0,10,6.06,7.17,7.37,7.17,0.6,3.0,10,5.5,5.54,5.54,5.54,0.91,5,11
6.41,6.4,6.4,6.4,0.03,5.0,10,6.43,6.03,6.03,6.03,0.001,4.0,10,5.82,6.75,6.75,6.75,0.68,1,10
6.4,6.4,6.4,6.31,0.05,1.0,10,6.41,6.4,6.4,6.4,0.03,5.0,10,5.8,5.85,5.85,5.85,0.01,2,10
6.24,6.33,6.33,6.32,0.03,2.0,10,6.4,6.4,6.4,6.31,0.05,1.0,10,6.06,7.17,7.37,7.17,0.6,3,10
6.34,6.42,6.43,6.37,0.48,3.0,10,6.24,6.33,6.33,6.32,0.03,2.0,10,6.43,6.03,6.03,6.03,0.001,4,10
6.37,6.26,6.26,6.23,0.21,4.0,10,6.34,6.42,6.43,6.37,0.48,3.0,10,6.41,6.4,6.4,6.4,0.03,5,10
6.57,6.33,6.55,6.33,0.4,5.0,10,6.37,6.26,6.26,6.23,0.21,4.0,10,6.4,6.4,6.4,6.31,0.05,1,10
6.79,6.7,6.7,6.7,0.81,1.0,10,6.57,6.33,6.55,6.33,0.4,5.0,10,6.24,6.33,6.33,6.32,0.03,2,10
6.73,6.72,6.72,6.67,0.09,2.0,10,6.79,6.7,6.7,6.7,0.81,1.0,10,6.34,6.42,6.43,6.37,0.48,3,10
6.9,6.66,6.87,6.66,3.2,3.0,10,6.73,6.72,6.72,6.67,0.09,2.0,10,6.37,6.26,6.26,6.23,0.21,4,10
6.97,6.94,7.02,6.94,1.13,4.0,10,6.9,6.66,6.87,6.66,3.2,3.0,10,6.57,6.33,6.55,6.33,0.4,5,10
7.12,6.88,7.05,6.88,0.34,5.0,10,6.97,6.94,7.02,6.94,1.13,4.0,10,6.79,6.7,6.7,6.7,0.81,1,10
6.99,7.12,7.19,7.07,0.28,1.0,10,7.12,6.88,7.05,6.88,0.34,5.0,10,6.73,6.72,6.72,6.67,0.09,2,10
6.21,6.92,6.92,6.2,2.3,2.0,10,6.99,7.12,7.19,7.07,0.28,1.0,10,6.9,6.66,6.87,6.66,3.2,3,10
6.48,6.33,6.52,6.12,2.79,3.0,10,6.21,6.92,6.92,6.2,2.3,2.0,10,6.97,6.94,7.02,6.94,1.13,4,10
6.5,6.56,6.56,6.28,3.54,4.0,10,6.48,6.33,6.52,6.12,2.79,3.0,10,7.12,6.88,7.05,6.88,0.34,5,10
7.06,6.84,7.1,6.83,3.66,5.0,10,6.5,6.56,6.56,6.28,3.54,4.0,10,6.99,7.12,7.19,7.07,0.28,1,10
6.61,7.28,7.28,6.6,0.19,1.0,9,7.06,6.84,7.1,6.83,3.66,5.0,10,6.21,6.92,6.92,6.2,2.3,2,10
6.81,6.75,6.81,6.3,1.46,2.0,9,6.61,7.28,7.28,6.6,0.19,1.0,9,6.48,6.33,6.52,6.12,2.79,3,10
6.77,6.93,6.94,6.64,0.13,3.0,9,6.81,6.75,6.81,6.3,1.46,2.0,9,6.5,6.56,6.56,6.28,3.54,4,10
6.8,6.71,6.79,6.71,0.63,4.0,9,6.77,6.93,6.94,6.64,0.13,3.0,9,7.06,6.84,7.1,6.83,3.66,5,10
6.9,6.82,6.97,6.72,0.23,5.0,9,6.8,6.71,6.79,6.71,0.63,4.0,9,6.61,7.28,7.28,6.6,0.19,1,9
6.89,6.96,6.97,6.84,1.08,1.0,9,6.9,6.82,6.97,6.72,0.23,5.0,9,6.81,6.75,6.81,6.3,1.46,2,9
6.82,6.77,6.89,6.73,1.66,2.0,9,6.89,6.96,6.97,6.84,1.08,1.0,9,6.77,6.93,6.94,6.64,0.13,3,9
6.5,6.73,6.73,6.38,0.54,3.0,9,6.82,6.77,6.89,6.73,1.66,2.0,9,6.8,6.71,6.79,6.71,0.63,4,9
6.43,6.45,6.53,6.32,1.75,4.0,9,6.5,6.73,6.73,6.38,0.54,3.0,9,6.9,6.82,6.97,6.72,0.23,5,9
6.29,6.35,6.35,6.18,0.84,5.0,9,6.43,6.45,6.53,6.32,1.75,4.0,9,6.89,6.96,6.97,6.84,1.08,1,9
5.87,6.18,6.2,5.68,0.44,1.0,9,6.29,6.35,6.35,6.18,0.84,5.0,9,6.82,6.77,6.89,6.73,1.66,2,9
5.75,5.88,6.03,5.66,0.47,2.0,9,5.87,6.18,6.2,5.68,0.44,1.0,9,6.5,6.73,6.73,6.38,0.54,3,9
5.99,5.79,6.04,5.79,0.38,3.0,9,5.75,5.88,6.03,5.66,0.47,2.0,9,6.43,6.45,6.53,6.32,1.75,4,9
6.01,5.94,6.12,5.94,0.36,4.0,9,5.99,5.79,6.04,5.79,0.38,3.0,9,6.29,6.35,6.35,6.18,0.84,5,9
6.18,6.09,6.16,6.05,0.31,5.0,9,6.01,5.94,6.12,5.94,0.36,4.0,9,5.87,6.18,6.2,5.68,0.44,1,9
5.86,6.12,6.12,5.82,2.75,1.0,9,6.18,6.09,6.16,6.05,0.31,5.0,9,5.75,5.88,6.03,5.66,0.47,2,9
5.85,5.84,5.96,5.79,5.28,2.0,9,5.86,6.12,6.12,5.82,2.75,1.0,9,5.99,5.79,6.04,5.79,0.38,3,9
5.8,5.84,5.88,5.79,0.69,3.0,9,5.85,5.84,5.96,5.79,5.28,2.0,9,6.01,5.94,6.12,5.94,0.36,4,9
5.17,5.74,5.74,5.16,4.1,4.0,9,5.8,5.84,5.88,5.79,0.69,3.0,9,6.18,6.09,6.16,6.05,0.31,5,9
4.34,5.1,5.12,3.98,5.02,5.0,9,5.17,5.74,5.74,5.16,4.1,4.0,9,5.86,6.12,6.12,5.82,2.75,1,9
4.64,4.29,4.68,3.97,2.52,1.0,9,4.34,5.1,5.12,3.98,5.02,5.0,9,5.85,5.84,5.96,5.79,5.28,2,9
5.04,4.66,5.15,4.66,0.17,2.0,8,4.64,4.29,4.68,3.97,2.52,1.0,9,5.8,5.84,5.88,5.79,0.69,3,9
4.82,4.89,4.89,4.74,0.23,3.0,8,5.04,4.66,5.15,4.66,0.17,2.0,8,5.17,5.74,5.74,5.16,4.1,4,9
4.85,4.77,4.84,4.55,0.65,4.0,8,4.82,4.89,4.89,4.74,0.23,3.0,8,4.34,5.1,5.12,3.98,5.02,5,9
4.68,4.81,4.81,4.6,1.95,5.0,8,4.85,4.77,4.84,4.55,0.65,4.0,8,4.64,4.29,4.68,3.97,2.52,1,9
