Price-1,Open-1,High-1,Low-1,Vol-1,Week-1,t-1,Price-2,Open-2,High-2,Low-2,Vol-2,Week-2,t-2,Last-Week-Price,Last-Week-Open,Last-Week-High,Last-Week-Low,Last-Week-Vol,Last-Week-day,Last-Week-t
6.11,6.48,6.48,6.36,0.03,1.0,11,6.54,6.41,6.63,6.41,0.001,5.0,0,6.32,6.5,6.58,6.16,0.3,2,0
5.41,6.05,6.05,5.44,1.56,2.0,11,6.11,6.48,6.48,6.36,0.03,1.0,11,6.32,6.41,6.41,6.31,0.05,3,0
5.7,5.64,5.68,5.32,0.05,3.0,11,5.41,6.05,6.05,5.44,1.56,2.0,11,6.34,6.36,6.42,6.34,0.2,4,0
5.27,5.79,5.83,5.33,1.09,4.0,11,5.7,5.64,5.68,5.32,0.05,3.0,11,6.54,6.41,6.63,6.41,0.001,5,0
5.03,5.39,5.39,5.04,0.001,5.0,11,5.27,5.79,5.83,5.33,1.09,4.0,11,6.11,6.48,6.48,6.36,0.03,1,11
5.25,5.05,5.05,5.05,0.001,1.0,11,5.03,5.39,5.39,5.04,0.001,5.0,11,5.41,6.05,6.05,5.44,1.56,2,11
5.49,5.36,5.36,5.36,0.001,2.0,11,5.25,5.05,5.05,5.05,0.001,1.0,11,5.7,5.64,5.68,5.32,0.05,3,11
5.51,5.61,5.69,5.47,3.93,3.0,11,5.49,5.36,5.36,5.36,0.001,2.0,11,5.27,5.79,5.83,5.33,1.09,4,11
5.03,5.54,5.54,5.08,0.001,4.0,11,5.51,5.61,5.69,5.47,3.93,3.0,11,5.03,5.39,5.39,5.04,0.001,5,11
5.03,5.1,5.18,5.01,2.31,5.0,11,5.03,5.54,5.54,5.08,0.001,4.0,11,5.25,5.05,5.05,5.05,0.001,1,11
4.69,4.96,4.96,4.85,0.01,1.0,11,5.03,5.1,5.18,5.01,2.31,5.0,11,5.49,5.36,5.36,5.36,0.001,2,11
4.99,4.66,4.66,4.66,0.001,2.0,11,4.69,4.96,4.96,4.85,0.01,1.0,11,5.51,5.61,5.69,5.47,3.93,3,11
4.83,4.96,4.96,4.93,0.02,3.0,11,4.99,4.66,4.66,4.66,0.001,2.0,11,5.03,5.54,5.54,5.08,0.001,4,11
5.19,4.9,4.95,4.9,0.02,4.0,11,4.83,4.96,4.96,4.93,0.02,3.0,11,5.03,5.1,5.18,5.01,2.31,5,11
5.42,5.15,5.57,5.15,1.79,5.0,11,5.19,4.9,4.95,4.9,0.02,4.0,11,4.69,4.96,4.96,4.85,0.01,1,11
5.31,5.45,5.59,5.34,3.02,1.0,11,5.42,5.15,5.57,5.15,1.79,5.0,11,4.99,4.66,4.66,4.66,0.001,2,11
5.07,5.19,5.19,5.19,0.001,2.0,11,5.31,5.45,5.59,5.34,3.02,1.0,11,4.83,4.96,4.96,4.93,0.02,3,11
4.97,4.95,4.99,4.95,0.001,3.0,11,5.07,5.19,5.19,5.19,0.001,2.0,11,5.19,4.9,4.95,4.9,0.02,4,11
5.19,5.05,5.27,4.94,0.83,4.0,11,4.97,4.95,4.99,4.95,0.001,3.0,11,5.42,5.15,5.57,5.15,1.79,5,11
4.91,5.17,5.24,4.95,0.5,5.0,11,5.19,5.05,5.27,4.94,0.83,4.0,11,5.31,5.45,5.59,5.34,3.02,1,11
5.34,5.05,5.23,5.02,0.97,1.0,11,4.91,5.17,5.24,4.95,0.5,5.0,11,5.07,5.19,5.19,5.19,0.001,2,11
5.61,5.23,5.42,5.22,0.66,2.0,11,5.34,5.05,5.23,5.02,0.97,1.0,11,4.97,4.95,4.99,4.95,0.001,3,11
5.53,5.42,5.49,5.3,0.64,3.0,10,5.61,5.23,5.42,5.22,0.66,2.0,11,5.19,5.05,5.27,4.94,0.83,4,11
5.48,5.33,5.38,5.25,0.87,4.0,10,5.53,5.42,5.49,5.3,0.64,3.0,10,4.91,5.17,5.24,4.95,0.5,5,11
